headline,term,excerpt
Grief and Protests Follow Shooting of a Teenager,crowd,"A crowd estimated in the thousands flooded the streets near the scene of the shooting, some of them chanting “No justice, no peace.”"
Grief and Protests Follow Shooting of a Teenager,spray-painting,Images and videos captured on cellphones and posted on social media sites appeared to show people spray-painting and looting a QuikTrip gas station and other stores.
Grief and Protests Follow Shooting of a Teenager,looting,Images and videos captured on cellphones and posted on social media sites appeared to show people spray-painting and looting a QuikTrip gas station and other stores.
Grief and Protests Follow Shooting of a Teenager,rioters,Rioters shattered the windows of the gas station and damaged several police cars...
Grief and Protests Follow Shooting of a Teenager,shattered,Rioters shattered the windows of the gas station and damaged several police cars...
Grief and Protests Follow Shooting of a Teenager,damaged,Rioters shattered the windows of the gas station and damaged several police cars...
Grief and Protests Follow Shooting of a Teenager,crowds,"Police officials, fearing civil disorder, dispatched officers with police dogs to control the crowds."
Outrage Over Teenager’s Death Erupts on Social Media,protesters,There are short video clips and Vines being posted by protesters at a rally on Monday...
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,smashed,"""Crowds smashed car windows and looted stores following a vigil for an unarmed teenager..."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,looted,"""Crowds smashed car windows and looted stores following a vigil for an unarmed teenager..."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,crowds,"""Crowds smashed car windows and looted stores following a vigil for an unarmed teenager..."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,gathering,"""...the crowd of mostly African-Americans, who had been gathering through the day under the hot sun."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,crowd,"""...the crowd of mostly African-Americans, who had been gathering through the day under the hot sun."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,threw rocks,"""Earlier in the night, several people threw rocks at officers."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,threw rocks,"""...the officers used tear gas and shot “beanbag rounds” after members of the crowd threw rocks..."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,crowd,"""...the officers used tear gas and shot “beanbag rounds” after members of the crowd threw rocks..."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,crowd,"""...gunfire came from the crowd."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,demonstrators,"""...out of concern that cars passing by might hit demonstrators in the street."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,protesters,"""He said they had no reports of injuries to the police or protesters."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,assaulting,"""Brian Schellman, a public information officer with the St. Louis County police, said late Monday that the police had made several arrests for offenses including assaulting a police officer."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,protesters,"""Carissa McGraw joined protesters turning their backs to law enforcement officials..."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,looting,"""Mr. Brown’s parents said at a news conference that he was nonviolent and good-natured, and would have objected to the looting."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,smashed,"""...the aftermath of Sunday’s protest was still visible in a burned-out convenience store, the smashed windows of a thrift shop and lottery tickets that littered a parking lot."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,littered,"""...the aftermath of Sunday’s protest was still visible in a burned-out convenience store, the smashed windows of a thrift shop and lottery tickets that littered a parking lot."""
F.B.I. Steps In Amid Unrest After Police Kill Missouri Youth,looting,"""Outside the Police Department, groups of residents criticized the police but also condemned the looting from the night before."""
"Protests Near St. Louis, Seen on Social Media",crowds,"""...police officers used tear gas and rubber bullets to try to disperse the crowds."""
"Protests Near St. Louis, Seen on Social Media",threw rocks,"""The police told The Associated Press that the officers used tear gas after members of the crowd threw rocks at officers and gunfire came from the crowd."""
"Protests Near St. Louis, Seen on Social Media",gunfire,"""The police told The Associated Press that the officers used tear gas after members of the crowd threw rocks at officers and gunfire came from the crowd."""
Scenes of Chaos Unfold After a Peaceful Vigil in Ferguson,rioting,"""A peaceful vigil on Sunday was followed by rioting and looting that led to 32 arrests overnight."""
Scenes of Chaos Unfold After a Peaceful Vigil in Ferguson,looting,"""A peaceful vigil on Sunday was followed by rioting and looting that led to 32 arrests overnight."""
Scenes of Chaos Unfold After a Peaceful Vigil in Ferguson,protesters,"""Protesters gathered on West Florissant Avenue, a commercial strip where much of the looting had occurred on Sunday night."""
Scenes of Chaos Unfold After a Peaceful Vigil in Ferguson,looting,"""Protesters gathered on West Florissant Avenue, a commercial strip where much of the looting had occurred on Sunday night."""
Scenes of Chaos Unfold After a Peaceful Vigil in Ferguson,yelling,"""The protesters started yelling at the police, and the police drove them back into the surrounding residential neighborhood."""
Scenes of Chaos Unfold After a Peaceful Vigil in Ferguson,looting,"""The police were trying to prevent further looting, Ms. Bosman said."""
Scenes of Chaos Unfold After a Peaceful Vigil in Ferguson,jumping on cars,"""People were jumping on cars, though that was limited."""
Scenes of Chaos Unfold After a Peaceful Vigil in Ferguson,crowd,"""The police were asking the crowd to disperse and go home..."""
Scenes of Chaos Unfold After a Peaceful Vigil in Ferguson,crowds,"""By 10 p.m., the crowds had thinned and people started to go home."""
Missouri Police Cite Threats in Deciding Not to Name Officer Who Shot Teenager,looted,"""Stores have been looted, and at least one business was set on fire."""
Missouri Police Cite Threats in Deciding Not to Name Officer Who Shot Teenager,set on fire,"""Stores have been looted, and at least one business was set on fire."""
Missouri Police Cite Threats in Deciding Not to Name Officer Who Shot Teenager,demonstrators,"""The police have made more than 40 arrests since Sunday and fired tear gas and rubber bullets at demonstrators."""
Missouri Police Cite Threats in Deciding Not to Name Officer Who Shot Teenager,crowd,"""...police officers, who used tear gas to disperse the remnants of a bigger crowd."""
